date,confirmed,new_cases,smoothed_new_cases,zscore,anomaly
2020-01-22,557,0.0,,-1.3092002055131653,False
2020-01-23,655,98.0,,-1.3087783955866108,False
2020-01-24,941,286.0,,-1.3079692091968942,False
2020-01-25,1433,492.0,,-1.3070825475145451,False
2020-01-26,2118,685.0,,-1.3062518402102083,False
2020-01-27,2927,809.0,,-1.3057181215276294,False
2020-01-28,5578,2651.0,717.2857142857143,-1.297789816581576,False
2020-01-29,6167,589.0,801.4285714285714,-1.3066650417709147,False
2020-01-30,8235,2068.0,1082.857142857143,-1.3002991552262824,False
2020-01-31,9927,1692.0,1283.7142857142858,-1.3019175280057156,False
2020-02-01,12038,2111.0,1515.0,-1.3001140753605491,False
2020-02-02,16787,4749.0,2095.5714285714284,-1.2887596408069721,False
2020-02-03,19887,3100.0,2422.8571428571427,-1.2958572384486888,False
2020-02-04,23898,4011.0,2617.1428571428573,-1.2919361278049024,False
2020-02-05,27643,3745.0,3068.0,-1.293081040462693,False
2020-02-06,30803,3160.0,3224.0,-1.2955989874732474,False
2020-02-07,34396,3593.0,3495.5714285714284,-1.2937352762671446,False
2020-02-08,37130,2734.0,3584.5714285714284,-1.297432569398882,False
2020-02-09,40160,3030.0,3339.0,-1.2961585312533705,False
2020-02-10,42769,2609.0,3268.8571428571427,-1.297970592264385,False
2020-02-11,44811,2042.0,2987.5714285714284,-1.300411063982307,False
2020-02-12,45229,418.0,2512.285714285714,-1.307401057050923,False
2020-02-13,60382,15153.0,4225.571428571428,-1.2439789216654193,False
2020-02-14,66909,6527.0,4644.714285714285,-1.2811068035680562,False
2020-02-15,69052,2143.0,4560.285714285715,-1.2999763415069805,False
2020-02-16,71235,2183.0,4439.285714285715,-1.2998041741900195,False
2020-02-17,73270,2035.0,4357.285714285715,-1.300441193262775,False
2020-02-18,75152,1882.0,4334.428571428572,-1.3010997332501508,False
2020-02-19,75652,500.0,4346.142857142857,-1.307048114051153,False
2020-02-20,76212,560.0,2261.4285714285716,-1.3067898630757115,False
2020-02-21,76841,629.0,1418.857142857143,-1.306492874453954,False
2020-02-22,78602,1761.0,1364.2857142857142,-1.301620539383958,False
2020-02-23,78982,380.0,1106.7142857142858,-1.307564616002036,False
2020-02-24,79546,564.0,896.5714285714286,-1.3067726463440155,False
2020-02-25,80399,853.0,749.5714285714286,-1.3055287374789724,False
2020-02-26,81376,977.0,817.7142857142857,-1.3049950187963932,False
2020-02-27,82736,1360.0,932.0,-1.3033465167364917,False
2020-02-28,84122,1386.0,1040.142857142857,-1.303234607980467,False
2020-02-29,86013,1891.0,1058.7142857142858,-1.3010609956038346,False
2020-03-01,88394,2381.0,1344.5714285714287,-1.2989519459710626,False
2020-03-02,90377,1983.0,1547.2857142857142,-1.3006650107748243,False
2020-03-03,92971,2594.0,1796.0,-1.2980351550082454,False
2020-03-04,95279,2308.0,1986.142857142857,-1.2992661513245163,False
2020-03-05,98090,2811.0,2193.4285714285716,-1.297101147313732,False
2020-03-06,102003,3913.0,2554.4285714285716,-1.2923579377314567,False
2020-03-07,106098,4095.0,2869.285714285714,-1.2915745764392843,False
2020-03-08,110047,3949.0,3093.285714285714,-1.292202987146192,False
2020-03-09,114219,4172.0,3406.0,-1.2912431543541343,False
2020-03-10,119041,4822.0,3724.285714285714,-1.2884454354535184,False
2020-03-11,126702,7661.0,4489.0,-1.2762258601322123,False
2020-03-12,132492,5790.0,4914.571428571428,-1.2842789863830624,False
2020-03-13,146876,14384.0,6410.428571428572,-1.2472888383339944,False
2020-03-14,157950,11074.0,7407.428571428572,-1.261535683812516,False
2020-03-15,169219,11269.0,8453.142857142857,-1.2606963681423313,False
2020-03-16,184027,14808.0,9972.57142857143,-1.245463864774208,False
2020-03-17,199970,15943.0,11561.285714285714,-1.24057861715544,False
2020-03-18,219535,19565.0,13261.857142857143,-1.2249888666046227,False
2020-03-19,246584,27049.0,16298.857142857143,-1.192776361601222,False
2020-03-20,277359,30775.0,18640.428571428572,-1.176738976026306,False
2020-03-21,309350,31991.0,21628.571428571428,-1.171505089590692,False
2020-03-22,344205,34855.0,24998.0,-1.1591779096962853,False
2020-03-23,387040,42835.0,29001.85714285714,-1.1248305299625685,False
2020-03-24,428219,41179.0,32607.0,-1.1319582568847533,False
2020-03-25,479220,51001.0,37097.857142857145,-1.089682572204983,False
2020-03-26,542097,62877.0,42216.142857142855,-1.038566095799266,False
2020-03-27,607138,65041.0,47111.28571428572,-1.0292518439516767,False
2020-03-28,674418,67280.0,52152.57142857143,-1.0196147783847853,False
2020-03-29,733655,59237.0,55635.71428571428,-1.0542333216427158,False
2020-03-30,798949,65294.0,58844.142857142855,-1.0281628856718983,False
2020-03-31,875794,76845.0,63939.28571428572,-0.9784452687164894,False
2020-04-01,958586,82792.0,68480.85714285714,-0.9528482928673147,False
2020-04-02,1041649,83063.0,71364.57142857143,-0.9516818592949039,False
2020-04-03,1125200,83551.0,74008.85714285714,-0.9495814180279799,False
2020-04-04,1183589,58389.0,72738.71428571429,-1.0578832687622888,False
2020-04-05,1256181,72592.0,74646.57142857143,-0.9967509586923663,False
2020-04-06,1329324,73143.0,75767.85714285714,-0.9943793539012287,False
2020-04-07,1399153,69829.0,74765.57142857143,-1.0086434161114464,False
2020-04-08,1482508,83355.0,74846.0,-0.9504250378810888,False
2020-04-09,1569527,87019.0,75411.14285714286,-0.9346545116474624,False
2020-04-10,1655062,85535.0,75694.57142857143,-0.941041919106715,False
2020-04-11,1729373,74311.0,77969.14285714286,-0.9893520682459679,False
2020-04-12,1849067,119694.0,84698.0,-0.7940153346049562,False
2020-04-13,1919799,70732.0,84353.57142857143,-1.004756738931052,False
2020-04-14,2003766,83967.0,86373.28571428571,-0.9477908779315857,False
2020-04-15,2080914,77148.0,85486.57142857143,-0.9771411012905099,False
2020-04-16,2176465,95551.0,86705.42857142857,-0.8979312229396839,False
2020-04-17,2264462,87997.0,87057.14285714286,-0.9304450207477662,False
2020-04-18,2341702,77240.0,87475.57142857143,-0.9767451164614996,False
2020-04-19,2418307,76605.0,81320.0,-0.9794782726182553,False
2020-04-20,2494325,76018.0,82075.14285714286,-0.9820048279946577,False
2020-04-21,2570074,75749.0,80901.14285714286,-0.9831626532012204,False
2020-04-22,2651321,81247.0,81486.71428571429,-0.9594982554849327,False
2020-04-23,2735570,84249.0,79872.14285714286,-0.9465770983470106,False
2020-04-24,2819666,84096.0,79314.85714285714,-0.9472356383343865,False
2020-04-25,2901925,82259.0,80031.85714285714,-0.9551424223658198,False
2020-04-26,2973513,71588.0,79315.14285714286,-1.0010723583480872,False
2020-04-27,3043705,70192.0,78482.85714285714,-1.0070809977100255,False
2020-04-28,3119245,75540.0,78453.0,-0.9840622274323415,False
2020-04-29,3196355,77110.0,77862.0,-0.9773046602416229,False
2020-04-30,3279850,83495.0,77754.28571428571,-0.9498224522717253,False
2020-05-01,3368226,88376.0,78365.71428571429,-0.9288137354195609,False
2020-05-02,3447426,79200.0,77928.71428571429,-0.9683089179304113,False
2020-05-03,3523799,76373.0,78612.28571428571,-0.980476843056629,False
2020-05-04,3601488,77689.0,79683.28571428571,-0.9748125383286126,False
2020-05-05,3681990,80502.0,80392.14285714286,-0.9627048717633312,False
2020-05-06,3772018,90028.0,82237.57142857143,-0.9217032252290721,False
2020-05-07,3860724,88706.0,82982.0,-0.9273933550546327,False
2020-05-08,3951003,90279.0,83253.85714285714,-0.9206228753151419,False
2020-05-09,4036226,85223.0,84114.28571428571,-0.9423848241790107,False
2020-05-10,4111202,74976.0,83914.71428571429,-0.9864897866014914,False
2020-05-11,4187833,76631.0,83763.57142857143,-0.9793663638622306,False
2020-05-12,4272324,84491.0,84333.42857142857,-0.9455354860793967,False
2020-05-13,4357304,84980.0,83612.28571428571,-0.9434307406295487,False
2020-05-14,4453535,96231.0,84687.28571428571,-0.8950043785513471,False
2020-05-15,4549267,95732.0,85466.28571428571,-0.8971521658304353,False
2020-05-16,4643706,94439.0,86782.85714285714,-0.9027174743511993,False
2020-05-17,4721728,78022.0,87218.0,-0.9733792454149123,False
2020-05-18,4810895,89167.0,89008.85714285714,-0.9254091267266573,False
2020-05-19,4907670,96775.0,90763.71428571429,-0.8926629030406776,False
2020-05-20,5009548,101878.0,93177.71428571429,-0.8706986575793797,False
2020-05-21,5116192,106644.0,94665.28571428571,-0.8501849217634782,False
2020-05-22,5222614,106422.0,96192.42857142857,-0.8511404503726117,False
2020-05-23,5327418,104804.0,97673.14285714286,-0.8581046183436836,False
2020-05-24,5421629,94211.0,99985.85714285714,-0.9036988280578769,False
2020-05-25,5508346,86717.0,99635.85714285714,-0.9359543748905178,False
2020-05-26,5602313,93967.0,99234.71428571429,-0.9047490486913389,False
2020-05-27,5705075,102762.0,99361.0,-0.866893759874542,False
2020-05-28,5824358,119283.0,101166.57142857143,-0.7957843537867303,False
2020-05-29,5945261,120903.0,103235.28571428571,-0.7888115774498103,False
2020-05-30,6081776,136515.0,107765.42857142857,-0.7216146736399371,False
2020-05-31,6188184,106408.0,109507.85714285714,-0.8512007089335479,False
2020-06-01,6284179,95995.0,110833.28571428571,-0.8960201657214169,False
2020-06-02,6406143,121964.0,114832.85714285714,-0.7842448393674202,False
2020-06-03,6520392,114249.0,116473.85714285714,-0.8174516106262705,False
2020-06-04,6651336,130944.0,118139.71428571429,-0.7455932767096786,False
2020-06-05,6782559,131223.0,119614.0,-0.7443924096738758,False
2020-06-06,6916296,133737.0,119217.14285714286,-0.7335716938028777,False
2020-06-07,7028659,112363.0,120067.85714285714,-0.825569299620981,False
2020-06-08,7131156,102497.0,120996.71428571429,-0.8680343683494085,False
2020-06-09,7256216,125060.0,121439.0,-0.7709190890346398,False
2020-06-10,7391321,135105.0,124418.42857142857,-0.7276835715628119,False
2020-06-11,7529341,138020.0,125429.28571428571,-0.7151368783392801,False
2020-06-12,7658106,128765.0,125078.14285714286,-0.7549720913011284,False
2020-06-13,7793395,135289.0,125299.85714285714,-0.7268916019047914,False
2020-06-14,7925679,132284.0,128145.71428571429,-0.7398256715914856,False
2020-06-15,8045337,119658.0,130597.28571428571,-0.794170285190221,False
2020-06-16,8187421,142084.0,133029.2857142857,-0.6976446789360438,False
2020-06-17,8331167,143746.0,134263.7142857143,-0.6904911269163148,False
2020-06-18,8472230,141063.0,134698.42857142858,-0.7020392497014729,False
2020-06-19,8652145,179915.0,142005.57142857142,-0.5348131347372664,False
2020-06-20,8809593,157448.0,145171.14285714287,-0.6315152124913287,False
2020-06-21,8937295,127702.0,144516.57142857142,-0.7595474377493666,False
2020-06-22,9076656,139361.0,147331.2857142857,-0.7093649690381629,False
2020-06-23,9243465,166809.0,150863.42857142858,-0.5912237561395337,False
2020-06-24,9416059,172594.0,154984.57142857142,-0.566324057924051,False
2020-06-25,9594440,178381.0,160315.7142857143,-0.5414157513427202,False
2020-06-26,9786037,191597.0,161984.57142857142,-0.4845316698188102,False
2020-06-27,9964169,178132.0,164939.42857142858,-0.5424874928908023,False
2020-06-28,10128040,163871.0,170106.42857142858,-0.6038694455703182,False
2020-06-29,10283387,155347.0,172390.14285714287,-0.6405583008147046,False
2020-06-30,10457929,174542.0,173494.85714285713,-0.5579395095880509,False
2020-07-01,10675536,217607.0,179925.2857142857,-0.3725798719649284,False
2020-07-02,10885481,209945.0,184434.42857142858,-0.4055585215288055,False
2020-07-03,11086866,201385.0,185832.7142857143,-0.4424023273584567,False
2020-07-04,11280675,193809.0,188072.2857142857,-0.4750108171908676,False
2020-07-05,11464678,184003.0,190948.2857142857,-0.5172176349438535,False
2020-07-06,11628653,163975.0,192180.85714285713,-0.6034218105462197,False
2020-07-07,11840015,211362.0,197440.85714285713,-0.3994594943254625,False
2020-07-08,12054174,214159.0,196948.2857142857,-0.3874206946869655,False
2020-07-09,12281001,226827.0,199360.0,-0.33289530540542095,False
2020-07-10,12513675,232674.0,203829.85714285713,-0.3077287478486487,False
2020-07-11,12730157,216482.0,207068.85714285713,-0.3774220777544562,False
2020-07-12,12922431,192274.0,208250.42857142858,-0.48161773797924545,False
2020-07-13,13113875,191444.0,212174.57142857142,-0.48519020980618593,False
2020-07-14,13336063,222188.0,213721.14285714287,-0.3528624099899714,False
2020-07-15,13567531,231468.0,216193.85714285713,-0.31291959245502243,False
2020-07-16,13818843,251312.0,219691.7142857143,-0.22750738651067687,False
2020-07-17,14061585,242742.0,221130.0,-0.2643942341695683,False
2020-07-18,14297763,236178.0,223943.7142857143,-0.2926468908828663,False
2020-07-19,14511197,213434.0,226966.57142857142,-0.3905412273068834,False
2020-07-20,14718313,207116.0,229205.42857142858,-0.41773505502087127,False
2020-07-21,14951994,233681.0,230847.2857142857,-0.30339443564415586,False
2020-07-22,15231862,279868.0,237761.57142857142,-0.10459713893222831,False
2020-07-23,15514716,282854.0,242267.57142857142,-0.09174484872109065,False
2020-07-24,15795790,281074.0,247743.57142857142,-0.09940629432585456,False
2020-07-25,16049844,254054.0,250297.2857142857,-0.2157053169330012,False
2020-07-26,16262970,213126.0,250253.2857142857,-0.391866915647483,False
2020-07-27,16489410,226440.0,253013.85714285713,-0.3345610241970185,False
2020-07-28,16742195,252785.0,255743.0,-0.22116732506358852,False
2020-07-29,17033923,291728.0,257437.2857142857,-0.053549529453295705,False
2020-07-30,17314023,280100.0,257043.85714285713,-0.1035985684938546,False
2020-07-31,17604767,290744.0,258425.2857142857,-0.05778484545053598,False
2020-08-01,17853105,248338.0,257608.7142857143,-0.24030802652672623,False
2020-08-02,18084097,230992.0,260161.0,-0.3149683835268582,False
2020-08-03,18290572,206475.0,257308.85714285713,-0.42049403627517107,False
2020-08-04,18548514,257942.0,258045.57142857142,-0.1989706537243933,False
2020-08-05,18825089,276575.0,255880.85714285713,-0.11877081330104156,False
2020-08-06,19110291,285202.0,256609.7142857143,-0.08163862721548071,False
2020-08-07,19392530,282239.0,255394.7142857143,-0.09439192121936582,False
2020-08-08,19651048,258518.0,256849.0,-0.19649144436015506,False
2020-08-09,19875731,224683.0,255947.7142857143,-0.3421234735945299,False
2020-08-10,20101760,226029.0,258741.14285714287,-0.33633004337879263,False
2020-08-11,20359330,257570.0,258688.0,-0.20057180977213046,False
2020-08-12,20635977,276647.0,258698.2857142857,-0.11846091213051178,False
2020-08-13,20925193,289216.0,259271.7142857143,-0.06436163695844568,False
2020-08-14,21228941,303748.0,262344.4285714286,-0.0018132507065191413,False
2020-08-15,21476649,247708.0,260800.14285714287,-0.24301966176886178,False
2020-08-16,21691119,214470.0,259341.14285714287,-0.38608209379759384,False
2020-08-17,21898851,207732.0,256727.2857142857,-0.4150836783396721,False
2020-08-18,22157107,258256.0,256825.2857142857,-0.19761914028624952,False
2020-08-19,22436697,279590.0,257245.7142857143,-0.10579370178510718,False
2020-08-20,22709057,272360.0,254837.7142857143,-0.13691294432580556,False
2020-08-21,22970176,261119.0,248747.85714285713,-0.1852962645747669,False
2020-08-22,23234450,264274.0,251114.42857142858,-0.17171656744946906,False
2020-08-23,23440631,206181.0,249930.2857142857,-0.42175946605483433,False
2020-08-24,23666030,225399.0,252454.14285714287,-0.3390416786209282,False
2020-08-25,23909839,243809.0,250390.2857142857,-0.25980167098963397,False
2020-08-26,24193826,283987.0,251018.42857142858,-0.08686820946817068,False
2020-08-27,24477571,283745.0,252644.85714285713,-0.08790982173578467,False
2020-08-28,24761333,283762.0,255879.57142857142,-0.08783665062607625,False
2020-08-29,25025089,263756.0,255805.57142857142,-0.17394613420411384,False
2020-08-30,25246073,220984.0,257920.2857142857,-0.35804464623049714,False
2020-08-31,25509089,263016.0,263294.14285714284,-0.1771312295678921,False
2020-09-01,25773879,264790.0,266291.4285714286,-0.16949560906067232,False
2020-09-02,26057375,283496.0,266221.28571428574,-0.0889815632838668,False
